卡BIN,银行名称,卡种
535919382,农业银行,2
955957141,农业银行,0
622631151,华夏银行,0
622962,长治银行股份有限公司,0
955957142,农业银行,0
622631150,华夏银行,0
622961,贵州银行,0
955957140,农业银行,0
955997161,农业银行,0
955997162,农业银行,0
955997160,农业银行,0
622844007,农业银行,0
955997163,农业银行,0
53783,交通银行,1
909810,广州农村商业银行股份有限公司,0
63491028161,农业银行,2
621626,平安银行,0
63491028160,农业银行,2
621625,广东华兴银行,0
63491028163,农业银行,2
622631159,华夏银行,0
622959,湖北银行,0
63491028162,农业银行,2
621622,邮储银行,0
622953,安徽省农村信用社联合社,0
621621,建设银行,0
955957145,农业银行,0
955957146,农业银行,0
535918061,农业银行,2
535918062,农业银行,2
621620,中国银行,0
535918060,农业银行,2
955978076,农业银行,0
955978077,农业银行,0
955978074,农业银行,0
955978075,农业银行,0
63535917350,农业银行,2
955969139,农业银行,0
621399001,民生银行,0
621619,农业银行,0
621399002,民生银行,0
621618,工商银行,0
621399003,民生银行,0
486493,兴业银行,1
486494,兴业银行,1
621399005,民生银行,0
955970118,农业银行,0
621399006,民生银行,0
955970117,农业银行,0
622945,重庆三峡银行,0
621399007,民生银行,0
955970116,农业银行,0
621399008,民生银行,0
955978079,农业银行,0
955970115,农业银行,0
622947,黄河农村商业银行,0
621399009,民生银行,0
955970114,农业银行,0
622942,渣打银行中国有限公司,0
955970113,农业银行,0
955980382,农业银行,0
955978061,农业银行,0
955978062,农业银行,0
622940,石嘴山银行,0
955978060,农业银行,0
512411,中国银行,1
512412,中国银行,1
63535917382,农业银行,2
955966079,农业银行,0
955966077,农业银行,0
955966076,农业银行,0
622939,贵州银行,0
62316901,开县泰业村镇银行,0
955966075,农业银行,0
622938,东亚银行中国有限公司,0
62316902,东莞长安村镇银行,0
955966074,农业银行,0
622935,吉林农信联合社,0
622937,德州银行,0
622936,承德市商业银行,0
621600,厦门银行股份有限公司,0
622933,东亚银行中国有限公司,0
621601,濮阳银行,0
955979382,农业银行,0
498451,浦发银行,1
955969118,农业银行,0
62316905,东源泰业村镇银行,0
955969117,农业银行,0
62316906,东莞厚街华业村镇银行,0
62316903,灵山泰业村镇银行,0
62316904,枞阳泰业村镇银行,0
955969114,农业银行,0
955969113,农业银行,0
955969116,农业银行,0
955969115,农业银行,0
